LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Weeks ,Hours WorkedWeekly
AUS,HRWKD,TOT,HR_WKD,A,2015,1733,52,33.32692308
AUS,HRWKD,TOT,HR_WKD,A,2016,1740,52,33.46153846
AUS,HRWKD,TOT,HR_WKD,A,2017,1726,52,33.46153846
AUS,HRWKD,TOT,HR_WKD,A,2018,1723,52,33.19230769
AUS,HRWKD,TOT,HR_WKD,A,2019,1712,52,33.13461538
AUT,HRWKD,TOT,HR_WKD,A,2015,1495,52,32.92307692
AUT,HRWKD,TOT,HR_WKD,A,2016,1507,52,28.75
AUT,HRWKD,TOT,HR_WKD,A,2017,1498,52,28.98076923
AUT,HRWKD,TOT,HR_WKD,A,2018,1502,52,28.80769231
AUT,HRWKD,TOT,HR_WKD,A,2019,1501,52,28.88461538
BEL,HRWKD,TOT,HR_WKD,A,2015,1575,52,28.86538462
BEL,HRWKD,TOT,HR_WKD,A,2016,1574,52,30.28846154
BEL,HRWKD,TOT,HR_WKD,A,2017,1578,52,30.26923077
BEL,HRWKD,TOT,HR_WKD,A,2018,1583,52,30.34615385
CAN,HRWKD,TOT,HR_WKD,A,2015,1712,52,30.44230769
CAN,HRWKD,TOT,HR_WKD,A,2016,1706,52,32.92307692
CAN,HRWKD,TOT,HR_WKD,A,2017,1695,52,32.80769231
CAN,HRWKD,TOT,HR_WKD,A,2018,1708,52,32.59615385
CAN,HRWKD,TOT,HR_WKD,A,2019,1670,52,32.84615385
CZE,HRWKD,TOT,HR_WKD,A,2015,1756,52,32.11538462
CZE,HRWKD,TOT,HR_WKD,A,2016,1779,52,33.76923077
CZE,HRWKD,TOT,HR_WKD,A,2017,1784,52,34.21153846
CZE,HRWKD,TOT,HR_WKD,A,2018,1792,52,34.30769231
CZE,HRWKD,TOT,HR_WKD,A,2019,1788,52,34.46153846
DNK,HRWKD,TOT,HR_WKD,A,2015,1407,52,34.38461538
DNK,HRWKD,TOT,HR_WKD,A,2016,1412,52,27.05769231
DNK,HRWKD,TOT,HR_WKD,A,2017,1405,52,27.15384615
DNK,HRWKD,TOT,HR_WKD,A,2018,1382,52,27.01923077
DNK,HRWKD,TOT,HR_WKD,A,2019,1380,52,26.57692308
FIN,HRWKD,TOT,HR_WKD,A,2015,1555,52,26.53846154
FIN,HRWKD,TOT,HR_WKD,A,2016,1555,52,29.90384615
FIN,HRWKD,TOT,HR_WKD,A,2017,1549,52,29.90384615
FIN,HRWKD,TOT,HR_WKD,A,2018,1546,52,29.78846154
FIN,HRWKD,TOT,HR_WKD,A,2019,1540,52,29.73076923
FRA,HRWKD,TOT,HR_WKD,A,2015,1519,52,29.61538462
FRA,HRWKD,TOT,HR_WKD,A,2016,1522,52,29.21153846
FRA,HRWKD,TOT,HR_WKD,A,2017,1505,52,29.26923077
FRA,HRWKD,TOT,HR_WKD,A,2018,1495,52,28.94230769
FRA,HRWKD,TOT,HR_WKD,A,2019,1505,52,28.75
DEU,HRWKD,TOT,HR_WKD,A,2015,1400.8,52,28.94230769
DEU,HRWKD,TOT,HR_WKD,A,2016,1394.8,52,26.93846154
DEU,HRWKD,TOT,HR_WKD,A,2017,1391.3,52,26.82307692
DEU,HRWKD,TOT,HR_WKD,A,2018,1389.9,52,26.75576923
DEU,HRWKD,TOT,HR_WKD,A,2019,1386.1,52,26.72884615
GRC,HRWKD,TOT,HR_WKD,A,2015,1944,52,26.65576923
GRC,HRWKD,TOT,HR_WKD,A,2016,1943,52,37.38461538
GRC,HRWKD,TOT,HR_WKD,A,2017,1957,52,37.36538462
GRC,HRWKD,TOT,HR_WKD,A,2018,1956,52,37.63461538
GRC,HRWKD,TOT,HR_WKD,A,2019,1949,52,37.61538462
HUN,HRWKD,TOT,HR_WKD,A,2015,1745.9,52,37.48076923
HUN,HRWKD,TOT,HR_WKD,A,2016,1760.2,52,33.575
HUN,HRWKD,TOT,HR_WKD,A,2017,1747.4,52,33.85
HUN,HRWKD,TOT,HR_WKD,A,2018,1728.9,52,33.60384615
HUN,HRWKD,TOT,HR_WKD,A,2019,1725.2,52,33.24807692
ISL,HRWKD,TOT,HR_WKD,A,2015,1486,52,33.17692308
ISL,HRWKD,TOT,HR_WKD,A,2016,1474,52,28.57692308
ISL,HRWKD,TOT,HR_WKD,A,2017,1464,52,28.34615385
ISL,HRWKD,TOT,HR_WKD,A,2018,1449,52,28.15384615
ISL,HRWKD,TOT,HR_WKD,A,2019,1454,52,27.86538462
IRL,HRWKD,TOT,HR_WKD,A,2015,1771,52,27.96153846
IRL,HRWKD,TOT,HR_WKD,A,2016,1763,52,34.05769231
IRL,HRWKD,TOT,HR_WKD,A,2017,1775,52,33.90384615
IRL,HRWKD,TOT,HR_WKD,A,2018,1785,52,34.13461538
IRL,HRWKD,TOT,HR_WKD,A,2019,1772,52,34.32692308
ITA,HRWKD,TOT,HR_WKD,A,2015,1717.5,52,34.07692308
ITA,HRWKD,TOT,HR_WKD,A,2016,1721.7,52,33.02884615
ITA,HRWKD,TOT,HR_WKD,A,2017,1719.2,52,33.10961538
